Summary Quite,edgar
http://www.nasdaq.com/symbol/pih,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f17%2f0001387131-16-004603.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/flws,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f09%2f16%2f0001437749-16-038804.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/fccy,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f22%2f0001141807-16-000010.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/srce,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f17%2f0000034782-17-000036.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/vnet,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f12%2f0001193125-16-538598.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/twou,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f24%2f0001047469-17-000950.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/jobs,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f31%2f0001104659-16-108848.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/cafd,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f01%2f26%2f0001564590-17-000660.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/eght,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f05%2f31%2f0001136261-16-000496.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/avhi,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f24%2f0001558370-17-000996.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/shlm,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f10%2f26%2f0000087565-16-000135.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aaon,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f23%2f0000824142-17-000034.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abax,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f05%2f31%2f0001140361-16-067878.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abeo,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001144204-16-091600.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abeow,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001144204-16-091600.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abil,http://secfilings.nasdaq.com/edgar_conv_html%2f2015%2f03%2f03%2f0001213900-15-001493.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abmd,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f05%2f26%2f0001564590-16-020014.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/axas,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f15%2f0000867665-16-000100.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aciu,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f09%2f21%2f0001193125-16-715981.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/acia,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f23%2f0001564590-17-002222.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/actg,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f15%2f0000934549-16-000100.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/achc,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f24%2f0001193125-17-056016.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/acad,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f02%2f29%2f0001193125-16-483533.html#FIS_BUSINESS
